Navn;Stasjon;Tid(norsk normaltid);Nedbør (mnd)
Smestad Ii;SN18850;03.1966;40,6
Smestad Ii;SN18850;04.1966;26,7
Smestad Ii;SN18850;05.1966;77,2
Smestad Ii;SN18850;06.1966;43,4
Smestad Ii;SN18850;07.1966;54,8
Smestad Ii;SN18850;08.1966;117,8
Smestad Ii;SN18850;09.1966;66,3
Smestad Ii;SN18850;10.1966;125,7
Smestad Ii;SN18850;11.1966;103,5
Smestad Ii;SN18850;12.1966;130,1
Smestad Ii;SN18850;01.1967;56,5
Smestad Ii;SN18850;02.1967;54,4
Smestad Ii;SN18850;03.1967;55,5
Smestad Ii;SN18850;04.1967;35
Smestad Ii;SN18850;05.1967;86,3
Smestad Ii;SN18850;06.1967;65,3
Smestad Ii;SN18850;07.1967;47,1
Smestad Ii;SN18850;08.1967;123,4
Smestad Ii;SN18850;09.1967;68,5
Smestad Ii;SN18850;10.1967;131,4
Smestad Ii;SN18850;11.1967;92
Smestad Ii;SN18850;12.1967;88,9
Smestad Ii;SN18850;01.1968;57,2
Smestad Ii;SN18850;02.1968;42,2
Smestad Ii;SN18850;03.1968;49,3
Smestad Ii;SN18850;04.1968;16,7
Smestad Ii;SN18850;05.1968;59
Smestad Ii;SN18850;06.1968;89,3
Smestad Ii;SN18850;07.1968;78
Smestad Ii;SN18850;08.1968;29,9
Smestad Ii;SN18850;09.1968;64,2
Smestad Ii;SN18850;10.1968;105
Smestad Ii;SN18850;11.1968;55,1
Smestad Ii;SN18850;12.1968;19,7
Smestad Ii;SN18850;01.1969;103,4
Smestad Ii;SN18850;02.1969;15,5
Smestad Ii;SN18850;03.1969;5,9
Smestad Ii;SN18850;04.1969;75,9
Smestad Ii;SN18850;05.1969;59,9
Smestad Ii;SN18850;06.1969;40,3
Smestad Ii;SN18850;07.1969;66,9
Smestad Ii;SN18850;08.1969;36
Smestad Ii;SN18850;09.1969;72,5
Smestad Ii;SN18850;10.1969;28,7
Smestad Ii;SN18850;11.1969;66,7
Smestad Ii;SN18850;12.1969;41,3
Smestad Ii;SN18850;01.1970;24,5
Smestad Ii;SN18850;02.1970;18,5
Smestad Ii;SN18850;03.1970;32
Smestad Ii;SN18850;04.1970;51,8
Smestad Ii;SN18850;05.1970;9,9
Smestad Ii;SN18850;06.1970;77
Smestad Ii;SN18850;07.1970;161,7
Smestad Ii;SN18850;08.1970;44,6
Smestad Ii;SN18850;09.1970;67,7
Smestad Ii;SN18850;10.1970;93,1
Smestad Ii;SN18850;11.1970;204,4
Smestad Ii;SN18850;12.1970;27,8
Smestad Ii;SN18850;01.1971;56,1
Smestad Ii;SN18850;02.1971;34
Smestad Ii;SN18850;03.1971;73,6
Smestad Ii;SN18850;04.1971;22,8
Smestad Ii;SN18850;05.1971;58,8
Smestad Ii;SN18850;06.1971;30,3
Smestad Ii;SN18850;07.1971;72,1
Smestad Ii;SN18850;08.1971;49,6
Smestad Ii;SN18850;09.1971;42,7
Smestad Ii;SN18850;10.1971;42,7
Smestad Ii;SN18850;11.1971;68,2
Smestad Ii;SN18850;12.1971;35,5
Smestad Ii;SN18850;01.1972;23,5
Smestad Ii;SN18850;02.1972;32
Smestad Ii;SN18850;03.1972;47
Smestad Ii;SN18850;04.1972;67,5
Smestad Ii;SN18850;05.1972;53,8
Smestad Ii;SN18850;06.1972;101,7
Smestad Ii;SN18850;07.1972;73,5
Smestad Ii;SN18850;08.1972;111,2
Smestad Ii;SN18850;09.1972;31,1
Smestad Ii;SN18850;10.1972;22,7
Smestad Ii;SN18850;11.1972;10,9
Smestad Ii;SN18850;12.1972;62,3
Smestad Ii;SN18850;01.1973;35,5
Smestad Ii;SN18850;02.1973;49
Smestad Ii;SN18850;03.1973;12,4
Smestad Ii;SN18850;04.1973;46,9
Smestad Ii;SN18850;05.1973;59,8
Smestad Ii;SN18850;06.1973;43
Smestad Ii;SN18850;07.1973;144,8
Smestad Ii;SN18850;08.1973;64,1
Smestad Ii;SN18850;09.1973;73,9
Smestad Ii;SN18850;10.1973;14,6
Smestad Ii;SN18850;11.1973;40,9
Smestad Ii;SN18850;12.1973;64,6
Smestad Ii;SN18850;01.1974;86,3
Smestad Ii;SN18850;02.1974;42,6
Smestad Ii;SN18850;03.1974;31,3
Smestad Ii;SN18850;04.1974;0
Smestad Ii;SN18850;05.1974;29,1
Smestad Ii;SN18850;06.1974;47
Smestad Ii;SN18850;07.1974;99,9
Smestad Ii;SN18850;08.1974;56
Smestad Ii;SN18850;09.1974;170,1
Smestad Ii;SN18850;10.1974;75,3
Smestad Ii;SN18850;11.1974;94,3
Smestad Ii;SN18850;12.1974;49,7
Smestad Ii;SN18850;01.1975;102
Smestad Ii;SN18850;02.1975;16,3
Smestad Ii;SN18850;03.1975;32,6
Smestad Ii;SN18850;04.1975;30,6
Smestad Ii;SN18850;05.1975;41,1
Smestad Ii;SN18850;06.1975;37,7
Smestad Ii;SN18850;07.1975;56,1
Smestad Ii;SN18850;08.1975;82,6
